org_list,0,1,total,prop_0,prop_1,diff
the Trade of Cloth,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the King's Seas,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Trade of Raw-,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Trade of the East-Indies,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Indians Manecas,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Importation and Consumption of Abundance,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Judgement and Experience of my Country Men,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Cinnamon,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Commodities of Holland,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Common Libertie,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Common Losse,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Caesar,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Consumption of foreign Commodities,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Currant Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Custom House,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Double Rider,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Drapery of foreign Nations,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the East-India Company,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the European World,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Exchange for Money,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Ilands of Melazo & Chius,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Bank of England,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Abstract,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
this Positive Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Barrel,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Basis,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Tower,6,3,9,0.005277044854881266,0.004451038575667656,0.0008260062792136104
Commodity,11,6,17,0.009674582233948988,0.008902077151335312,0.000772505082613676
Commission,4,2,6,0.003518029903254178,0.002967359050445104,0.0005506708528090739
Clothiers,4,2,6,0.003518029903254178,0.002967359050445104,0.0005506708528090739
Neighbours,4,2,6,0.003518029903254178,0.002967359050445104,0.0005506708528090739
Preemption of Tin,2,1,3,0.001759014951627089,0.001483679525222552,0.00027533542640453693
Taker,2,1,3,0.001759014951627089,0.001483679525222552,0.00027533542640453693
Treatise,2,1,3,0.001759014951627089,0.001483679525222552,0.00027533542640453693
Gentleman,2,1,3,0.001759014951627089,0.001483679525222552,0.00027533542640453693
party & party,2,1,3,0.001759014951627089,0.001483679525222552,0.00027533542640453693
Banker,2,1,3,0.001759014951627089,0.001483679525222552,0.00027533542640453693
Compass,2,1,3,0.001759014951627089,0.001483679525222552,0.00027533542640453693
Company,3,2,5,0.002638522427440633,0.002967359050445104,-0.0003288366230044708
Manufacture,3,2,5,0.002638522427440633,0.002967359050445104,-0.0003288366230044708
Scrivener,1,1,2,0.0008795074758135445,0.001483679525222552,-0.0006041720494090075
Passive,1,1,2,0.0008795074758135445,0.001483679525222552,-0.0006041720494090075
