entity,label,count
Prince Henry,PERSON,4
4,MONEY,4
William III.,PERSON,4
Corints,GPE,4
Levant Wines,ORG,4
the Royal Exchange,ORG,4
nine pence,MONEY,4
Britain,GPE,4
the Planet Saturn,LOC,4
Pag,ORG,4
the Philip Doller,ORG,4
ten shillings ten pence,MONEY,3
Exchanges,LOC,3
Taker,ORG,3
Edinburgh,GPE,3
Premio,PERSON,3
Flem,ORG,3
Banks of Exchanges,ORG,3
Coins,PERSON,3
party & party,ORG,3
Bizanson,PERSON,3
Register,ORG,3
Flemiſh,LOC,3
Statute Staple,ORG,3
Turf,PERSON,3
the King's Seas,ORG,3
eighteen pence,MONEY,3
Eastland Merchants,ORG,3
Farms,PERSON,3
Staple Trade,ORG,3
Mercers of London,ORG,3
Emperors,ORG,3
Sweden,GPE,3
Preemption of Tin,ORG,3
Persia,GPE,3
Velvet,PERSON,3
Peate,ORG,3
Troy,GPE,3
Bankerers,ORG,3
Middleborough,GPE,3
Rouen,PERSON,3
maketh the,PERSON,3
Banker,ORG,3
quae,GPE,3
draweth,PERSON,3
deliverer,ORG,3
fifty and six pence,MONEY,3
Antuerpe,PERSON,3
Commodities of Trade,ORG,3
Shipping,PERSON,3
Asper,ORG,3
Mints,ORG,3
netherlands Golden Riders,ORG,3
Towns,ORG,3
Gold and Silver Bullion,ORG,3
the Generals of Mints,ORG,3
these united Provinces,ORG,3
Magistrates,LOC,3
three guilders,MONEY,3
Our said Proclamation,ORG,3
the Council of the Admiralty,ORG,3
Lords,ORG,3
Committees,ORG,3
the Estates General,ORG,3
Shahes,PERSON,3
Cardinal Wolsey,PERSON,3
6 pence,MONEY,3
the King's Custom,ORG,3
Persons,PERSON,3
Markets,ORG,3
Confession,ORG,3
the Complaint of our Clothiers,ORG,3
Foreign Dealers,ORG,3
the Societies of Merchants,ORG,3
Foreign-Merchants,ORG,3
the Baseness of this Manufacture,ORG,3
Portugal Sugars,ORG,3
the Exportation of Woollen Manufactures,ORG,3
the Trade of Turkey,GPE,3
Turkey Silk,ORG,3
Silk,ORG,3
Ulloa,PERSON,3
Westmoreland,GPE,3
Shropshire,GPE,3
Lionnois,PERSON,3
Elizabeth,PERSON,3
Mary,PERSON,3
Farmers,ORG,3
Silver,PERSON,3
Monies,ORG,3
Compass,ORG,3
Eton,PERSON,3
Natural,ORG,3
the Progress of Improvement,ORG,3
the Merchant Stranger,ORG,3
Spirit,ORG,3
King's,ORG,3
Time,ORG,3
Royal,ORG,3
Spherical,ORG,3
Gentleman,ORG,3
Worthy,PERSON,3
Noble,PERSON,3
two pence,MONEY,3
Angel,PERSON,3
Florin,GPE,3
ten pro cent,MONEY,2
Eastland,GPE,2
Interest,ORG,2
Par of Exchange,ORG,2
Embroiderer,PERSON,2
four penny,MONEY,2
20.,MONEY,2
Port,GPE,2
Usury,GPE,2
King's Customs,ORG,2
Usurers,ORG,2
Porte,ORG,2
Ocean,ORG,2
Proclamation,GPE,2
Publica mensura,PERSON,2
Hamborow,LOC,2
Embden,GPE,2
Sums,PERSON,2
Callings,ORG,2
The East-India Company,ORG,2
Vent,GPE,2
the Sugar-Bakers,ORG,2
Barbadoes Sugars,ORG,2
Radix Cambij,PERSON,2
bringeth,PERSON,2
causeth us,ORG,2
Spanish Tobacco,ORG,2
Rich,PERSON,2
6 shillings 8 pence,MONEY,2
seven shillings,MONEY,2
Sugar-Bakers,ORG,2
Younger,ORG,2
The Accidental Reciprocal Exchanges,ORG,2
Fairs,GPE,2
Fermer,ORG,2
Rechange,GPE,2
9 shillings 7 pence,MONEY,2
Ocean,LOC,2
Noblemen &,ORG,2
Malestroit,PERSON,2
States,GPE,2
Question,PERSON,2
Raising,PERSON,2
Plate,GPE,2
Exchanger,PERSON,2
Knights and Gentry,ORG,2
La,GPE,2
South-west,GPE,2
the Nobility of England,ORG,2
Sattin-Doublet,ORG,2
Grocer,GPE,2
loseth unawares,PERSON,2
Howbeit,GPE,2
North-east,LOC,2
driveth,PERSON,2
Northwest,ORG,2
Lions,ORG,2
Fair,ORG,2
Engrossers,ORG,2
Party,ORG,2
the Master of the Ship and Mariners,ORG,2
Barratrie,PERSON,2
Map,PERSON,2
"house, & finding",ORG,2
Constable,ORG,2
Salt-Petre,PERSON,2
Custom,ORG,2
Exchequer,ORG,2
Sheyre,LOC,2
Gold or Bullion,ORG,2
Bullion,GPE,2
Non-vſe,ORG,2
Aristotle,GPE,2
Seneca,PERSON,2
Cicero,ORG,2
Scrivener,ORG,2
Linen,PERSON,2
Notary,GPE,2
hundreth pounds,PERSON,2
Netherlands,GPE,2
thousand pounds,MONEY,2
London Merchant,ORG,2
